 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  226       27798    3.895507e+00     6.523e-16     1.000e+00     4.982e-02     9.684e+00  
  227       27919    3.895144e+00     6.661e-16     1.000e+00     5.035e-02     1.121e+01  
  228       28040    3.894494e+00     6.523e-16     1.000e+00     9.796e-02     1.114e+01  
  229       28161    3.893631e+00     6.661e-16     1.000e+00     1.178e-01     1.182e+01  
  230       28282    3.892901e+00     8.882e-16     1.000e+00     5.731e-02     9.318e+00  
  231       28403    3.892078e+00     1.110e-15     1.000e+00     7.807e-02     6.742e+00  
  232       28524    3.891760e+00     6.661e-16     1.000e+00     4.489e-02     6.325e+00  
  233       28645    3.891485e+00     8.882e-16     1.000e+00     4.496e-02     5.706e+00  
  234       28766    3.891293e+00     4.441e-16     1.000e+00     5.214e-02     4.618e+00  
  235       28887    3.891100e+00     4.441e-16     1.000e+00     5.471e-02     5.148e+00  
  236       29008    3.890879e+00     6.661e-16     1.000e+00     7.499e-02     4.542e+00  
  237       29129    3.890667e+00     4.441e-16     1.000e+00     7.346e-02     5.974e+00  
  238       29250    3.890480e+00     4.580e-16     1.000e+00     6.338e-02     6.330e+00  
  239       29371    3.890316e+00     4.441e-16     1.000e+00     5.199e-02     5.039e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  240       29492    3.890170e+00     1.110e-15     1.000e+00     3.856e-02     3.615e+00  
  241       29613    3.890015e+00     1.110e-15     1.000e+00     3.720e-02     3.715e+00  
  242       29734    3.889836e+00     1.110e-15     1.000e+00     4.452e-02     6.036e+00  
  243       29855    3.889629e+00     1.124e-15     1.000e+00     6.167e-02     7.217e+00  
  244       29976    3.889385e+00     1.110e-15     1.000e+00     7.665e-02     8.495e+00  
  245       30097    3.889072e+00     1.110e-15     1.000e+00     1.070e-01     5.925e+00  
  246       30218    3.888664e+00     1.124e-15     1.000e+00     1.451e-01     6.889e+00  
  247       30339    3.888197e+00     1.110e-15     1.000e+00     1.300e-01     6.225e+00  
  248       30460    3.887724e+00     1.110e-15     1.000e+00     1.004e-01     5.747e+00  
  249       30581    3.887364e+00     8.882e-16     1.000e+00     1.009e-01     8.775e+00  
  250       30702    3.886894e+00     1.110e-15     1.000e+00     1.374e-01     1.138e+01  
  251       30823    3.886218e+00     1.110e-15     1.000e+00     2.764e-01     1.643e+01  
  252       30944    3.885166e+00     1.110e-15     1.000e+00     3.381e-01     1.812e+01  
  253       31065    3.883915e+00     1.124e-15     1.000e+00     3.273e-01     1.922e+01  
  254       31186    3.882652e+00     8.882e-16     1.000e+00     3.149e-01     1.182e+01  
  255       31307    3.882049e+00     8.882e-16     1.000e+00     7.377e-02     7.187e+00  
  256       31428    3.881577e+00     9.021e-16     1.000e+00     3.279e-02     6.638e+00  
  257       31549    3.881045e+00     8.882e-16     1.000e+00     1.866e-01     8.340e+00  
  258       31670    3.880655e+00     1.110e-15     1.000e+00     1.784e-01     4.432e+00  
  259       31791    3.880237e+00     8.743e-16     1.000e+00     2.267e-01     5.723e+00  
  260       31912    3.879622e+00     1.110e-15     1.000e+00     1.749e-01     9.508e+00  
  261       32033    3.878901e+00     8.882e-16     1.000e+00     8.097e-02     1.532e+01  
  262       32154    3.877922e+00     6.939e-16     1.000e+00     1.566e-01     1.743e+01  
  263       32275    3.877234e+00     6.800e-16     1.000e+00     1.257e-01     1.398e+01  
  264       32396    3.876355e+00     6.661e-16     1.000e+00     2.034e-01     9.993e+00  
  265       32517    3.875481e+00     1.110e-15     1.000e+00     2.791e-01     1.256e+01  
  266       32638    3.874592e+00     1.346e-15     1.000e+00     3.243e-01     1.487e+01  
  267       32759    3.873955e+00     8.882e-16     1.000e+00     1.887e-01     5.805e+00  
  268       32880    3.873466e+00     1.110e-15     1.000e+00     1.012e-01     7.788e+00  
  269       33001    3.873029e+00     1.110e-15     1.000e+00     1.076e-01     4.311e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  270       33122    3.872725e+00     8.882e-16     1.000e+00     1.117e-01     4.213e+00  
  271       33243    3.872521e+00     6.661e-16     1.000e+00     7.064e-02     3.570e+00  
  272       33364    3.872368e+00     1.110e-15     1.000e+00     4.808e-02     3.309e+00  
  273       33485    3.872177e+00     8.882e-16     1.000e+00     6.624e-02     5.052e+00  
  274       33606    3.872055e+00     1.332e-15     1.000e+00     1.051e-01     9.220e+00  
  275       33727    3.871895e+00     8.882e-16     1.000e+00     2.976e-02     5.441e+00  
  276       33848    3.871678e+00     8.882e-16     1.000e+00     1.053e-01     3.160e+00  
  277       33969    3.871384e+00     8.882e-16     1.000e+00     2.270e-01     3.267e+00  
  278       34090    3.871049e+00     8.882e-16     1.000e+00     3.372e-01     8.111e+00  
  279       34211    3.870643e+00     1.332e-15     1.000e+00     3.977e-01     1.096e+01  
  280       34332    3.870272e+00     1.110e-15     1.000e+00     3.612e-01     1.251e+01  
